"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.76,0.531,0.115,0.092,0.76,0.531,0.115,0.092,0.0843,0.1346,0.0,0.0
0.785,0.411,0.115,0.104,0.785,0.411,0.115,0.104,0.1116,0.0785,0.0,0.0
0.793,0.315,0.109,0.101,0.793,0.315,0.109,0.101,0.1151,0.0303,0.0,0.0021
0.807,0.254,0.105,0.101,0.807,0.254,0.105,0.101,0.0966,0.0049,0.0,0.0487
0.821,0.217,0.104,0.108,0.821,0.217,0.104,0.108,0.0569,0.0001,0.0,0.1521
0.805,0.181,0.104,0.134,0.805,0.181,0.104,0.134,0.0221,0.0,0.0,0.2487
0.8,0.147,0.106,0.157,0.8,0.147,0.106,0.157,0.0043,0.0,0.0024,0.3166
0.809,0.125,0.114,0.174,0.809,0.125,0.114,0.174,0.0,0.0,0.0128,0.3676
0.811,0.109,0.13,0.188,0.811,0.109,0.13,0.188,0.0,0.0,0.0333,0.3916
0.801,0.097,0.145,0.202,0.801,0.097,0.145,0.202,0.0,0.0,0.0652,0.3717
0.79,0.083,0.157,0.215,0.79,0.083,0.157,0.215,0.0,0.0,0.1009,0.2849
0.785,0.078,0.166,0.198,0.785,0.078,0.166,0.198,0.0,0.0,0.1187,0.1771
0.786,0.078,0.176,0.184,0.786,0.078,0.176,0.184,0.0,0.0,0.1273,0.0847
0.796,0.082,0.188,0.182,0.796,0.082,0.188,0.182,0.0,0.0057,0.1475,0.0193
0.793,0.085,0.204,0.177,0.793,0.085,0.204,0.177,0.0,0.0449,0.1693,0.0012
0.813,0.1,0.216,0.17,0.813,0.1,0.216,0.17,0.0,0.1186,0.1821,0.0
0.847,0.134,0.228,0.163,0.847,0.134,0.228,0.163,0.0,0.2065,0.1859,0.0
0.875,0.192,0.225,0.159,0.875,0.192,0.225,0.159,0.0,0.2801,0.1516,0.0
0.921,0.258,0.218,0.158,0.921,0.258,0.218,0.158,0.0,0.3247,0.1191,0.0
